cycle,avg_payoff
0,2.02
1,2.01
2,1.91
3,1.93
4,1.92
5,1.87
6,1.75
7,1.71
8,1.72
9,1.66
10,1.60
11,1.56
12,1.54
13,1.55
14,1.56
15,1.56
16,1.55
17,1.53
18,1.54
19,1.53
20,1.53
21,1.52
22,1.54
23,1.52
24,1.52
25,1.51
26,1.49
27,1.53
28,1.52
29,1.51
30,1.51
31,1.53
32,1.49
33,1.50
34,1.48
35,1.50
36,1.50
37,1.46
38,1.46
39,1.47
40,1.46
41,1.46
42,1.46
43,1.45
44,1.46
45,1.42
46,1.42
47,1.43
48,1.44
49,1.44
50,1.42
51,1.42
52,1.44
53,1.46
54,1.41
55,1.43
56,1.42
57,1.41
58,1.39
59,1.39
60,1.38
61,1.38
62,1.36
63,1.38
64,1.38
65,1.35
66,1.38
67,1.35
68,1.35
69,1.34
70,1.36
71,1.33
72,1.36
73,1.35
74,1.34
75,1.31
76,1.34
77,1.32
78,1.30
79,1.29
80,1.33
81,1.29
82,1.28
83,1.28
84,1.30
85,1.28
86,1.27
87,1.27
88,1.28
89,1.28
90,1.24
91,1.24
92,1.24
93,1.22
94,1.19
95,1.19
96,1.19
97,1.17
98,1.17
99,1.13
100,1.14
101,1.13
102,1.14
103,1.13
104,1.12
105,1.11
106,1.13
107,1.10
108,1.13
109,1.13
110,1.13
111,1.11
112,1.10
113,1.11
114,1.13
115,1.12
116,1.11
117,1.09
118,1.10
119,1.10
120,1.11
121,1.12
122,1.11
123,1.09
124,1.11
125,1.12
126,1.12
127,1.12
128,1.13
129,1.12
130,1.12
131,1.10
132,1.10
133,1.07
134,1.07
135,1.09
136,1.09
137,1.09
138,1.08
139,1.10
140,1.07
141,1.08
142,1.08
143,1.05
144,1.07
145,1.06
146,1.06
147,1.06
148,1.06
149,1.06
150,1.08
151,1.06
152,1.07
153,1.07
154,1.06
155,1.05
156,1.07
157,1.07
158,1.06
159,1.08
160,1.07
161,1.06
162,1.06
163,1.04
164,1.08
165,1.06
166,1.07
167,1.06
168,1.07
169,1.07
170,1.05
171,1.06
172,1.06
173,1.05
174,1.06
175,1.05
176,1.05
177,1.04
178,1.04
179,1.03
180,1.04
181,1.02
182,1.03
183,1.03
184,1.02
185,1.02
186,1.01
187,1.03
188,1.03
189,1.01
